Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.template_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.test_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Loading rom.
blk_mem_gen_v8_4_3 collision detected at time: 106497850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106498050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
